time,vsched,vroll
15.1,32.11560011,31.93391213
15.2,32.33560016,32.0512229
15.3,32.55560021,32.15355258
15.4,32.7756,32.24330488
15.5,32.99560006,32.33563415
15.6,33.21560011,32.44686609
15.7,33.43560016,32.60330241
15.8,33.65560021,32.80604368
15.9,33.8756,33.02939828
16,34.09560006,33.24072457
16.1,34.34500012,33.346029
16.2,34.59500018,33.58139726
16.3,34.84500024,33.84525375
16.4,35.095,34.12627052
16.5,35.34500006,34.41384442
16.6,35.59500012,34.71029618
16.7,35.84500018,35.01856882
16.8,36.09500024,35.31793432
16.9,36.345,35.58279377
17,36.59500006,35.85874446
17.1,36.84500012,36.14135964
17.2,37.09500018,36.42435063
17.3,37.34500024,36.84200789
17.4,37.595,37.1294671
17.5,37.84500006,37.40205015
17.6,38.09500012,37.6632833
17.7,38.34500018,37.91394501
17.8,38.59500024,38.14674607
17.9,38.845,38.36857791
18,39.09500006,38.58639788
18.1,39.31560011,38.79896629
18.2,39.53560016,39.00589758
18.3,39.75560021,39.22081602
18.4,39.9756,39.45468837
18.5,40.19560006,39.73198611
18.6,40.41560011,39.87180389
18.7,40.63560016,40.16726
18.8,40.85560021,40.43526258
18.9,41.0756,40.71478832
19,41.29560006,40.9811559
19.1,41.41760006,41.24102979
19.2,41.53760009,41.47808187
19.3,41.65760012,41.69235607
19.4,41.7776,41.88421842
19.5,41.89760003,42.05198511
19.6,42.01760006,42.16904696
19.7,42.13760009,42.30025287
19.8,42.25760012,42.42684171
19.9,42.3776,42.60550685
20,42.49760003,42.66573867
20.1,42.57840004,42.72905993
20.2,42.65840006,42.77585539
20.3,42.73840008,42.81435378
20.4,42.8184,42.85301811
20.5,42.89840002,42.8809353
20.6,42.97840004,42.91356718
20.7,43.05840006,42.93922952
20.8,43.13840008,42.96735658
20.9,43.2184,43.00619173
21,43.29840002,43.05136194
21.1,43.35880003,43.10323325
21.2,43.41880004,43.12954959
21.3,43.47880006,43.20338373
21.4,43.5388,43.2755194
21.5,43.59880002,43.35987617
21.6,43.65880003,43.43814191
21.7,43.71880004,43.52265974
21.8,43.77880006,43.59414629
21.9,43.8388,43.67143103
22,43.89880002,43.72759241
22.1,43.94900002,43.78948853
22.2,43.99900004,43.83981756
22.3,44.04900005,43.89278213
22.4,44.099,43.96554253
22.5,44.14900001,44.01190849
22.6,44.19900002,44.06333078
22.7,44.24900004,44.10541155
22.8,44.29900005,44.15567714
22.9,44.349,44.20078878
23,44.39900001,44.24551485
23.1,44.4098,44.2885327
23.2,44.41980001,44.3294226
23.3,44.42980001,44.37319207
23.4,44.4398,44.41049959
23.5,44.4498,44.44753867
23.6,44.4598,44.4722444
23.7,44.46980001,44.49235747
23.8,44.47980001,44.49646696
23.9,44.4898,44.50598418
24,44.4998,44.50911755
24.1,44.47059999,44.519484
24.2,44.44059998,44.51522321
24.3,44.41059997,44.51925949
24.4,44.3806,44.51713154
24.5,44.35059999,44.5171901
24.6,44.32059999,44.51213377
24.7,44.29059998,44.49982971
24.8,44.26059997,44.47971176
24.9,44.2306,44.43227695
25,44.20059999,44.35727634
25.1,44.05299993,44.30908502
25.2,43.90299989,44.21233634
25.3,43.75299985,44.02633563
25.4,43.603,43.85454242
25.5,43.45299996,43.69598547
25.6,43.30299993,43.52828222
25.7,43.15299989,43.34265243
25.8,43.00299985,43.16896554
25.9,42.853,42.98338944
26,42.70299996,42.80321131
26.1,42.42559986,42.62452177
26.2,42.14559979,42.4354853
26.3,41.86559973,42.26028541
26.4,41.58559999,42.16172602
26.5,41.30559993,41.95124896
26.6,41.02559986,41.73183546
26.7,40.74559979,41.48780408
26.8,40.46559973,41.24269897
26.9,40.18559999,40.99374303
27,39.90559993,40.75380162
27.1,39.61579986,40.52642294
27.2,39.32579979,40.28554689
27.3,39.03579972,40.01036246
27.4,38.74579999,39.73610292
27.5,38.45579993,39.4576924
27.6,38.16579986,39.03292894
27.7,37.87579979,38.74940352
27.8,37.58579972,38.46446516
27.9,37.29579999,38.18255523
28,37.00579993,37.92184675
28.1,36.76479988,37.6748333
28.2,36.52479982,37.4281005
28.3,36.28479977,37.18246095
28.4,36.0448,36.94043063
28.5,35.80479994,36.69737294
28.6,35.56479988,36.45968637
28.7,35.32479982,36.21874687
28.8,35.08479977,35.98286858
28.9,34.8448,35.7470635
29,34.60479994,35.62732462
29.1,34.37459989,35.39500675
29.2,34.14459983,35.1587258
29.3,33.91459978,34.92677154
29.4,33.6846,34.68673007
29.5,33.45459994,34.44825773
29.6,33.22459989,34.20514391
29.7,32.99459983,33.95752771
29.8,32.76459978,33.69484989
29.9,32.5346,33.42514885
30,32.30459994,33.17558284
30.1,31.97659984,32.91585048
30.2,31.64659976,32.49756117
30.3,31.31659968,32.21698365
30.4,30.98659999,31.91984861
30.5,30.65659992,31.62368724
30.6,30.32659984,31.31451901
